,,,Vancouver - City (Census subdivision),,,,,,British Columbia (Province)
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Detailed language spoken most often at home,        Danish,,      50,,      25,,      25,,     325,,     160,,     170,
Detailed language spoken most often at home,        Dutch,,     135,,      60,,      75,,    2230,,    1055,,    1175,
Detailed language spoken most often at home,        Estonian,,      20,,      10,,      15,,     110,,      40,,      70,
Detailed language spoken most often at home,        Finnish,,      95,,      40,,      60,,     795,,     350,,     445,
Detailed language spoken most often at home,        Flemish,,      15,,      10,,       5,,      50,,      25,,      20,
Detailed language spoken most often at home,        Fukien,,     165,,      70,,     100,,     690,,     310,,     380,
Detailed language spoken most often at home,        German,,    1100,,     530,,     570,,   11555,,    5430,,    6120,
Detailed language spoken most often at home,        Greek,,     955,,     440,,     510,,    2105,,    1015,,    1095,
Detailed language spoken most often at home,        Gujarati,,     485,,     205,,     275,,    3045,,    1335,,    1710,
Detailed language spoken most often at home,        Hakka,,     115,,      55,,      60,,     320,,     145,,     175,
Detailed language spoken most often at home,        Hebrew,,     350,,     175,,     170,,     780,,     395,,     390,
Detailed language spoken most often at home,        Hindi,,    1915,,     905,,    1015,,   12390,,    5900,,    6490,
Detailed language spoken most often at home,        Hungarian,,     335,,     145,,     185,,    2560,,    1235,,    1325,
Detailed language spoken most often at home,        Ilocano,,     525,,     240,,     290,,    1190,,     530,,     660,
Detailed language spoken most often at home,        Indo-Iranian languages; n.i.e.,,      15,,      10,,      10,,     180,,      85,,      85,
Detailed language spoken most often at home,        Italian,,    2040,,     890,,    1150,,    6250,,    2730,,    3520,
Detailed language spoken most often at home,        Japanese,,    3560,,    1440,,    2120,,    9540,,    3985,,    5555,
Detailed language spoken most often at home,        Khmer (Cambodian),,     175,,      85,,      90,,     750,,     370,,     385,
Detailed language spoken most often at home,        Korean,,    5445,,    2415,,    3035,,   38810,,   17985,,   20830,
Detailed language spoken most often at home,        Kurdish,,     215,,     105,,     110,,     945,,     490,,     460,
Detailed language spoken most often at home,        Lao,,      30,,      10,,      15,,     545,,     270,,     275,
Detailed language spoken most often at home,        Latvian,,      40,,      15,,      20,,     105,,      50,,      50,
Detailed language spoken most often at home,        Lingala,,       0,,       0,,       0,,      10,,       5,,       5,
Detailed language spoken most often at home,        Lithuanian,,      20,,      10,,      10,,      65,,      30,,      35,
Detailed language spoken most often at home,        Macedonian,,      35,,      15,,      20,,     140,,      70,,      70,
Detailed language spoken most often at home,        Malay,,     395,,     205,,     185,,    1320,,     655,,     660,
Detailed language spoken most often at home,        Malayalam,,     205,,     100,,     105,,     690,,     350,,     340,
Detailed language spoken most often at home,        Maltese,,       5,,       5,,       0,,      15,,      10,,       5,
Detailed language spoken most often at home,        Mandarin,,   19030,,    8895,,   10135,,   78070,,   36945,,   41130,
Detailed language spoken most often at home,        Marathi,,      30,,      20,,      10,,     230,,     120,,     105,
Detailed language spoken most often at home,        Nepali,,      85,,      50,,      35,,     525,,     275,,     250,
Detailed language spoken most often at home,        Niger-Congo languages; n.i.e.,,      15,,      10,,      10,,     140,,      65,,      75,
Detailed language spoken most often at home,        Norwegian,,      35,,      15,,      10,,     160,,      80,,      80,
Detailed language spoken most often at home,        Oromo,,      40,,      25,,      15,,     175,,      80,,      95,
Detailed language spoken most often at home,        Panjabi (Punjabi),,   10500,,    5120,,    5370,,  137390,,   67955,,   69430,
Detailed language spoken most often at home,        Pashto,,      90,,      50,,      45,,     565,,     295,,     270,
Detailed language spoken most often at home,        Persian (Farsi),,    3875,,    1890,,    1985,,   24750,,   12095,,   12655,
Detailed language spoken most often at home,        Polish,,     860,,     390,,     470,,    6395,,    3065,,    3330,
Detailed language spoken most often at home,        Portuguese,,    1545,,     750,,     800,,    5195,,    2405,,    2785,
Detailed language spoken most often at home,        Romanian,,     445,,     220,,     230,,    4155,,    2050,,    2105,
Detailed language spoken most often at home,        Rundi (Kirundi),,      20,,      10,,      15,,      75,,      30,,      45,
Detailed language spoken most often at home,        Russian,,    2085,,     960,,    1130,,   12205,,    5880,,    6320,
Detailed language spoken most often at home,        Rwanda (Kinyarwanda),,      10,,       5,,      10,,      25,,      10,,      15,
Detailed language spoken most often at home,        Semitic languages; n.i.e.,,      15,,       5,,      10,,     465,,     230,,     235,
Detailed language spoken most often at home,        Serbian,,    1325,,     645,,     685,,    4020,,    2020,,    2000,
Detailed language spoken most often at home,        Serbo-Croatian,,     240,,     115,,     125,,     615,,     300,,     315,
Detailed language spoken most often at home,        Shanghainese,,     195,,      85,,     110,,     555,,     260,,     295,
Detailed language spoken most often at home,        Sign languages; n.i.e.,,      95,,      50,,      45,,     980,,     535,,     450,
Detailed language spoken most often at home,        Sindhi,,      75,,      30,,      50,,     675,,     295,,     385,
Detailed language spoken most often at home,        Sinhala (Sinhalese),,      65,,      35,,      35,,     595,,     295,,     300,
Detailed language spoken most often at home,        Sino-Tibetan languages; n.i.e.,,      45,,      15,,      30,,     620,,     315,,     300,
Detailed language spoken most often at home,        Slavic languages; n.i.e.,,      20,,      10,,      15,,      80,,      35,,      45,
Detailed language spoken most often at home,        Slovak,,     125,,      60,,      65,,    1080,,     515,,     570,
Detailed language spoken most often at home,        Slovenian,,      15,,      10,,      10,,     165,,      70,,     100,
Detailed language spoken most often at home,        Somali,,      70,,      35,,      40,,     625,,     310,,     315,
Detailed language spoken most often at home,        Spanish,,    5245,,    2560,,    2680,,   20585,,   10025,,   10555,
Detailed language spoken most often at home,        Swahili,,      45,,      25,,      25,,     250,,     130,,     125,
Detailed language spoken most often at home,        Swedish,,     120,,      55,,      60,,     430,,     195,,     235,
Detailed language spoken most often at home,        Tagalog (Pilipino; Filipino),,    9345,,    3880,,    5460,,   29380,,   12780,,   16600,
Detailed language spoken most often at home,        Taiwanese,,     765,,     365,,     400,,    2910,,    1390,,    1515,
Detailed language spoken most often at home,        Tamil,,    1035,,     550,,     485,,    1965,,    1010,,     960,
Detailed language spoken most often at home,        Telugu,,      45,,      30,,      15,,     290,,     145,,     140,
Detailed language spoken most often at home,        Thai,,     270,,     125,,     145,,     845,,     375,,     475,
Detailed language spoken most often at home,        Tibetan languages,,      20,,      15,,       5,,     100,,      55,,      45,
Detailed language spoken most often at home,        Tigrigna,,      60,,      30,,      35,,     295,,     135,,     160,
Detailed language spoken most often at home,        Turkish,,     370,,     195,,     175,,    1365,,     725,,     645,
Detailed language spoken most often at home,        Ukrainian,,     140,,      60,,      80,,    1070,,     475,,     595,
Detailed language spoken most often at home,        Urdu,,     400,,     200,,     205,,    5430,,    2700,,    2730,
Detailed language spoken most often at home,        Vietnamese,,    7475,,    3525,,    3955,,   17270,,    8085,,    9180,
Detailed language spoken most often at home,        Yiddish,,       5,,       0,,       0,,      10,,       5,,       5,
Detailed language spoken most often at home,      Other languages,22,     690,,     365,,     330,,    4180,,    2100,,    2075,
Detailed language spoken most often at home,  Multiple responses        ,,   35375,,   16600,,   18775,,  162820,,   77775,,   85050,
Detailed language spoken most often at home,    English and French,,     885,,     475,,     415,,    4700,,    2240,,    2460,
Detailed language spoken most often at home,    English and non-official language,,   33780,,   15805,,   17975,,  155065,,   74155,,   80905,
Detailed language spoken most often at home,    French and non-official language,,     255,,     125,,     130,,     930,,     435,,     495,
Detailed language spoken most often at home,    English; French and non-official language,,     450,,     195,,     260,,    2130,,     940,,    1185,
Detailed other language spoken regularly at home,Detailed other language spoken regularly at home - Total population excluding institutional residents,19,  595720,,  291505,,  304215,, 4356205,, 2137240,, 2218965,
Detailed other language spoken regularly at home,  None,,  454215,,  224420,,  229795,, 3740260,, 1844645,, 1895615,
Detailed other language spoken regularly at home,  Single responses ,,  138730,,   65795,,   72930,,  604495,,  287270,,  317220,
Detailed other language spoken regularly at home,    English ,,   58315,,   28070,,   30245,,  249765,,  122305,,  127455,
Detailed other language spoken regularly at home,    French ,,    6815,,    3275,,    3545,,   38175,,   17315,,   20865,
Detailed other language spoken regularly at home,    Non-official languages ,,   73595,,   34460,,   39140,,  316550,,  147655,,  168900,
Detailed other language spoken regularly at home,      Selected Aboriginal languages,20,     105,,      55,,      50,,     845,,     400,,     445,
Detailed other language spoken regularly at home,        Atikamekw   ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed other language spoken regularly at home,        Cree; n.o.s. ,,      80,,      40,,      40,,     705,,     335,,     365,
Detailed other language spoken regularly at home,        Dene ,,       5,,       0,,       5,,      30,,      15,,      20,
Detailed other language spoken regularly at home,        Innu/Montagnais ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed other language spoken regularly at home,        Inuktitut ,,       5,,       0,,       0,,      20,,      10,,       5,
Detailed other language spoken regularly at home,        Mi'kmaq ,,       0,,       0,,       5,,      10,,       5,,       5,
Detailed other language spoken regularly at home,        Ojibway ,,      20,,      10,,       5,,      80,,      35,,      45,
Detailed other language spoken regularly at home,        Oji-Cree ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed other language spoken regularly at home,        Stoney ,,       0,,       0,,       0,,       5,,       0,,       5,
Detailed other language spoken regularly at home,      Selected non-Aboriginal languages,21,   72660,,   34020,,   38640,,  305355,,  142340,,  163020,
Detailed other language spoken regularly at home,        African languages; n.i.e. ,,      25,,      15,,      10,,     310,,     165,,     140,
Detailed other language spoken regularly at home,        Afrikaans ,,     130,,      65,,      60,,    1340,,     650,,     690,
Detailed other language spoken regularly at home,        Akan (Twi) ,,      35,,      15,,      20,,     260,,     130,,     125,
Detailed other language spoken regularly at home,        Albanian ,,      45,,      25,,      20,,     405,,     200,,     205,
Detailed other language spoken regularly at home,        Amharic ,,     105,,      60,,      50,,     460,,     220,,     245,
Detailed other language spoken regularly at home,        Arabic ,,     735,,     500,,     230,,    3845,,    2280,,    1570,
Detailed other language spoken regularly at home,        Armenian ,,      80,,      45,,      35,,     320,,     160,,     165,
Detailed other language spoken regularly at home,        Bantu languages; n.i.e. ,,      35,,      20,,      15,,     215,,      95,,     125,
Detailed other language spoken regularly at home,        Bengali ,,     190,,      90,,     100,,     570,,     285,,     285,
Detailed other language spoken regularly at home,        Berber languages (Kabyle) ,,       0,,       0,,       0,,       0,,       5,,       0,
Detailed other language spoken regularly at home,        Bisayan languages ,,     220,,      80,,     140,,     920,,     345,,     575,
Detailed other language spoken regularly at home,        Bosnian ,,      80,,      35,,      45,,     395,,     190,,     205,
Detailed other language spoken regularly at home,        Bulgarian ,,     150,,      65,,      85,,     495,,     215,,     275,
Detailed other language spoken regularly at home,        Burmese ,,      90,,      45,,      45,,     235,,     110,,     130,
Detailed other language spoken regularly at home,        Cantonese ,,   13960,,    6715,,    7240,,   29240,,   13945,,   15290,
Detailed other language spoken regularly at home,        Chinese; n.o.s. ,,    7635,,    3705,,    3935,,   20595,,    9830,,   10760,
Detailed other language spoken regularly at home,        Creoles ,,      35,,      20,,      15,,     490,,     250,,     235,
Detailed other language spoken regularly at home,        Croatian ,,     505,,     230,,     270,,    3195,,    1585,,    1615,
Detailed other language spoken regularly at home,        Czech ,,     330,,     155,,     175,,    1940,,     900,,    1045,
Detailed other language spoken regularly at home,        Danish ,,     160,,      80,,      85,,    1705,,     765,,     940,
Detailed other language spoken regularly at home,        Dutch ,,     455,,     220,,     235,,    6930,,    3130,,    3805,
Detailed other language spoken regularly at home,        Estonian ,,      30,,      15,,      20,,     235,,     100,,     135,
Detailed other language spoken regularly at home,        Finnish ,,     140,,      45,,      95,,    1290,,     550,,     740,
Detailed other language spoken regularly at home,        Flemish ,,      10,,       5,,       5,,     125,,      50,,      70,
Detailed other language spoken regularly at home,        Fukien ,,     195,,      80,,     110,,     670,,     295,,     380,
Detailed other language spoken regularly at home,        German ,,    2735,,    1275,,    1465,,   23905,,   10935,,   12970,
Detailed other language spoken regularly at home,        Greek ,,    1165,,     585,,     580,,    3310,,    1730,,    1580,
Detailed other language spoken regularly at home,        Gujarati ,,     350,,     155,,     195,,    3185,,    1485,,    1705,
Detailed other language spoken regularly at home,        Hakka ,,     135,,      65,,      75,,     315,,     135,,     175,
Detailed other language spoken regularly at home,        Hebrew ,,     510,,     260,,     255,,    1090,,     575,,     515,
Detailed other language spoken regularly at home,        Hindi ,,    2065,,    1035,,    1035,,   12695,,    6190,,    6505,
Detailed other language spoken regularly at home,        Hungarian ,,     430,,     200,,     235,,    2950,,    1405,,    1545,
Detailed other language spoken regularly at home,        Ilocano ,,     380,,     140,,     240,,     945,,     360,,     590,
Detailed other language spoken regularly at home,        Indo-Iranian languages; n.i.e. ,,      40,,      20,,      20,,     175,,      90,,      85,
Detailed other language spoken regularly at home,        Italian ,,    1925,,     945,,     980,,    9605,,    4715,,    4890,
Detailed other language spoken regularly at home,        Japanese ,,    2860,,    1130,,    1735,,    9050,,    3635,,    5415,
Detailed other language spoken regularly at home,        Khmer (Cambodian) ,,      75,,      35,,      45,,     365,,     170,,     195,
Detailed other language spoken regularly at home,        Korean ,,    1545,,     615,,     925,,    6890,,    3125,,    3765,
Detailed other language spoken regularly at home,        Kurdish ,,      85,,      50,,      35,,     270,,     160,,     110,
Detailed other language spoken regularly at home,        Lao ,,      45,,      25,,      20,,     410,,     200,,     210,
Detailed other language spoken regularly at home,        Latvian ,,      30,,      10,,      20,,     120,,      45,,      75,
Detailed other language spoken regularly at home,        Lingala ,,       5,,       5,,       0,,      65,,      25,,      40,
Detailed other language spoken regularly at home,        Lithuanian ,,      25,,      15,,      15,,     115,,      55,,      60,
Detailed other language spoken regularly at home,        Macedonian ,,       5,,       5,,       5,,      60,,      25,,      35,
Detailed other language spoken regularly at home,        Malay ,,     385,,     195,,     195,,    1450,,     645,,     805,
Detailed other language spoken regularly at home,        Malayalam ,,      95,,      45,,      45,,     520,,     260,,     260,
Detailed other language spoken regularly at home,        Maltese ,,      10,,       5,,       5,,      80,,      30,,      50,
Detailed other language spoken regularly at home,        Mandarin ,,    5625,,    2475,,    3150,,   17925,,    8150,,    9775,
Detailed other language spoken regularly at home,        Marathi ,,      25,,      10,,      15,,     125,,      65,,      65,
Detailed other language spoken regularly at home,        Nepali ,,      15,,      10,,       5,,     155,,      80,,      75,
Detailed other language spoken regularly at home,        Niger-Congo languages; n.i.e. ,,      20,,      15,,       5,,     295,,     155,,     135,
Detailed other language spoken regularly at home,        Norwegian ,,      80,,      40,,      40,,     715,,     330,,     380,
Detailed other language spoken regularly at home,        Oromo ,,      10,,      10,,       5,,      65,,      45,,      25,
Detailed other language spoken regularly at home,        Panjabi (Punjabi) ,,    3655,,    1840,,    1815,,   34010,,   17040,,   16970,
Detailed other language spoken regularly at home,        Pashto ,,      25,,      15,,      10,,     235,,     120,,     120,
Detailed other language spoken regularly at home,        Persian (Farsi) ,,    1545,,     840,,     705,,    7025,,    3725,,    3300,
Detailed other language spoken regularly at home,        Polish ,,     905,,     405,,     500,,    5450,,    2475,,    2975,
Detailed other language spoken regularly at home,        Portuguese ,,    1290,,     645,,     645,,    5640,,    2625,,    3010,
Detailed other language spoken regularly at home,        Romanian ,,     355,,     140,,     215,,    2410,,    1135,,    1270,
Detailed other language spoken regularly at home,        Rundi (Kirundi) ,,       5,,       5,,       5,,      40,,      25,,      25,
Detailed other language spoken regularly at home,        Russian ,,    1035,,     440,,     590,,    6140,,    2715,,    3425,
Detailed other language spoken regularly at home,        Rwanda (Kinyarwanda) ,,      10,,       5,,       5,,      30,,      15,,      15,
Detailed other language spoken regularly at home,        Semitic languages; n.i.e. ,,      15,,      10,,       5,,     160,,      85,,      70,
Detailed other language spoken regularly at home,        Serbian ,,     510,,     250,,     260,,    1855,,     955,,     905,
Detailed other language spoken regularly at home,        Serbo-Croatian ,,     125,,      50,,      75,,     435,,     190,,     245,
Detailed other language spoken regularly at home,        Shanghainese ,,     170,,      80,,      90,,     485,,     215,,     265,
Detailed other language spoken regularly at home,        Sign languages; n.i.e. ,,      45,,      20,,      35,,     865,,     345,,     520,
Detailed other language spoken regularly at home,        Sindhi ,,     120,,      55,,      60,,     930,,     400,,     530,
Detailed other language spoken regularly at home,        Sinhala (Sinhalese) ,,      70,,      35,,      35,,     570,,     285,,     290,
Detailed other language spoken regularly at home,        Sino-Tibetan languages; n.i.e. ,,      15,,      10,,       5,,      65,,      35,,      30,
Detailed other language spoken regularly at home,        Slavic languages; n.i.e. ,,      25,,      10,,      10,,     150,,      75,,      75,
Detailed other language spoken regularly at home,        Slovak ,,     175,,      55,,     125,,    1035,,     400,,     635,
Detailed other language spoken regularly at home,        Slovenian ,,      50,,      20,,      25,,     345,,     155,,     190,
Detailed other language spoken regularly at home,        Somali ,,      45,,      20,,      25,,     365,,     190,,     175,
Detailed other language spoken regularly at home,        Spanish ,,    5260,,    2660,,    2600,,   20930,,   10065,,   10865,
Detailed other language spoken regularly at home,        Swahili ,,      75,,      40,,      35,,     580,,     280,,     300,
Detailed other language spoken regularly at home,        Swedish ,,     215,,     105,,     110,,    1220,,     535,,     680,
Detailed other language spoken regularly at home,        Tagalog (Pilipino; Filipino) ,,    6385,,    2360,,    4025,,   24810,,    9040,,   15775,
Detailed other language spoken regularly at home,        Taiwanese ,,     680,,     320,,     365,,    2675,,    1275,,    1395,
Detailed other language spoken regularly at home,        Tamil ,,     290,,     170,,     120,,     910,,     480,,     430,
Detailed other language spoken regularly at home,        Telugu ,,      40,,      20,,      20,,     195,,     100,,      95,
Detailed other language spoken regularly at home,        Thai ,,     255,,      95,,     150,,    1110,,     370,,     740,
Detailed other language spoken regularly at home,        Tibetan languages ,,      15,,      10,,       5,,      45,,      30,,      25,
Detailed other language spoken regularly at home,        Tigrigna ,,      40,,      15,,      20,,     175,,      85,,      90,
Detailed other language spoken regularly at home,        Turkish ,,     280,,     160,,     120,,    1020,,     575,,     445,
Detailed other language spoken regularly at home,        Ukrainian ,,     245,,     110,,     135,,    1930,,     830,,    1100,
Detailed other language spoken regularly at home,        Urdu ,,     195,,     110,,      90,,    2425,,    1260,,    1170,
Detailed other language spoken regularly at home,        Vietnamese ,,    2400,,    1175,,    1225,,    5945,,    2880,,    3060,
Detailed other language spoken regularly at home,        Yiddish ,,      45,,      15,,      25,,      90,,      35,,      50,
Detailed other language spoken regularly at home,      Other languages,22,     830,,     385,,     445,,   10345,,    4910,,    5435,
Detailed other language spoken regularly at home,  Multiple responses         ,,    2780,,    1285,,    1490,,   11455,,    5320,,    6130,
Detailed other language spoken regularly at home,    English and French ,,     240,,     110,,     130,,    1090,,     495,,     595,
Detailed other language spoken regularly at home,    English and non-official language ,,    1140,,     530,,     610,,    4540,,    2185,,    2350,
Detailed other language spoken regularly at home,    French and non-official language ,,    1380,,     645,,     735,,    5760,,    2610,,    3145,
Detailed other language spoken regularly at home,    English; French and non-official language ,,      15,,       5,,      10,,      70,,      30,,      40,

Notes:
1. Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment some population counts of geographic areas are adjusted in order to ensure confidentiality. Counts of the total population are rounded to a base of 5 for any dissemination block having a population of less than 15. Population counts for all standard geographic areas above the dissemination block level are derived by summing the adjusted dissemination block counts. The adjustment of dissemination block counts is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions. 
2. A separate set of living quarters designed for or converted for human habitation in which a person or group of persons reside or could reside. In addition a private dwelling must have a source of heat or power and must be an enclosed space that provides shelter from the elements as evidenced by complete and enclosed walls and roof and by doors and windows that provide protection from wind rain and snow.
3. A separate set of living quarters which has a private entrance either directly from outside or from a common hall lobby vestibule or stairway leading to the outside and in which a person or a group of persons live permanently.
4. Refers to the age at last birthday before the reference date that is before May 10 2011. Refer to the <a href="/census-recensement/2011/ref/dict/pop005-eng.cfm" title="Census Dictionary: Age">Census Dictionary</a> for more information.
5. The median age is an age 'x' such that exactly one half of the population is older than 'x' and the other half is younger than 'x'.
6. Refers to the marital status of the person taking into account his/her common-law status. For more information refer to the <a href="/census-recensement/2011/ref/dict/pop068-eng.cfm">Census Dictionary: Marital status</a>.
7. Census family - Refers to a married couple (with or without children) a common-law couple (with or without children) or a lone parent family. For more information refer to the <a href='/census-recensement/2011/ref/dict/fam004-eng.cfm'>Census Dictionary: Census family</a>.
8. Census family structure - Refers to the classification of census families into married couples (with or without children of either and/or both spouses) common-law couples (with or without children of either and/or both partners) and lone-parent families by sex of parent. A couple may be of opposite or same sex. A couple with children may be further classified as either an intact family or stepfamily and stepfamilies may in turn be classified as simple or complex. Children in a census family include grandchildren living with their grandparent(s) but with no parents present.
9. Non-relatives may be present.
10. Refers to the basic division of private households into family and non-family households. Family household refers to a household that contains at least one census family that is a married couple with or without children or a couple living common-law with or without children or a lone parent living with one or more children (lone-parent family). One-family household refers to a single census family (with or without other persons) that occupies a private dwelling. Multiple-family household refers to a household in which two or more census families (with or without additional persons) occupy the same private dwelling. Family households may also be divided based on the presence of persons not in a census family. Non-family household refers to either one person living alone in a private dwelling or to a group of two or more people who share a private dwelling but who do not constitute a census family.
11. Refers to households that consist solely of one census family without additional persons.
12. Refers to households with opposite-sex or same-sex couples.
13. Refers to one-census family households with additional persons and to multiple-census family households with or without additional persons.
14. Refers to households with opposite-sex or same-sex couples.
15. Structural type of dwelling - Characteristics that define a dwelling's structure for example the characteristics of a single-detached house a semi-detached house a row house or an apartment or flat in a duplex. Refers to the structural characteristics and/or dwelling configuration that is whether the dwelling is a single-detached house an apartment in a high-rise building a row house a mobile home etc.
16. Includes mobile homes and other movable dwellings such as houseboats and railroad cars.
17. The category 'Other dwelling' is a subtotal of the following categories: semi-detached house row house apartment or flat in a duplex apartment in a building that has fewer than five storeys and other single-attached house.
18. Household private - Person or group of persons occupying the same dwelling. Refers to a person or a group of persons (other than foreign residents) who occupy a private dwelling and do not have a usual place of residence elsewhere in Canada. Household size - Number of persons occupying a private dwelling. Refers to the number of usual residents in a private household.
19. The population excluding institutional residents includes Canadian citizens (by birth or by naturalization) and landed immigrants (permanent residents) excluding those who live in institutions (institutional collective dwellings). Canadian citizens and landed immigrants either: (1) have a usual place of residence in Canada; (2) are abroad either on a military base or attached to a diplomatic mission; or (3) are at sea or in port aboard merchant vessels under Canadian registry or Canadian government vessels. Since 1991 the target population  also includes persons with a usual place of residence in Canada who are claiming refugee status who hold study permits or who hold work permits as well as family members living with them; for census purposes this group is referred to as non-permanent residents. The population universe does not include foreign residents.
20. The languages shown were selected based on the Aboriginal mother tongues most often reported as single responses in Canada in the 2011 Census of Population.
21. The languages shown were selected based on the non-Aboriginal mother tongues (other than English or French) most often reported as single responses in Canada in the 2011 Census of Population.
22. This is a subtotal of all languages collected by the census that are not displayed separately here. For a full list of languages collected in the census please refer to Appendix D in the 2011 Census Dictionary.
23. English is the first official language spoken by Quebec's official language minority which consists of all individuals with English as a first official language spoken and half of those with both English and French. French is the first official language spoken by the official language minority in the country overall and in every province and territory outside Quebec which consists of all individuals with French as a first official language spoken and half of those with both English and French.

Symbols:
A,adjusted figure due to boundary change
E,use with caution 
x,area and data suppression 
+,excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements
..,incompletely enumerated Indian reserve and Indian settlement
...,not applicable

Source: Statistics Canada; 2011 Census of Population.

How to cite: Statistics Canada. 2012. Census Profile. 2011 Census.
Statistics Canada Catalogue no. 98-316-XWE. Ottawa. Released June 27 2012.
http://www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/index.cfm?Lang=E
